Start_Time,Stop_Time,N_Bikes,Station_Name
2017-01-05 T14:20 Z,2017-01-05 T14:40 Z,2,Pershing Square North
2017-01-05 T14:40 Z,2017-01-05 T15:00 Z,2,Pershing Square North
2017-01-05 T15:00 Z,2017-01-05 T15:20 Z,5,Pershing Square North
2017-01-05 T15:20 Z,2017-01-05 T15:40 Z,6,Pershing Square North
2017-01-05 T15:40 Z,2017-01-05 T16:00 Z,3,Pershing Square North
2017-01-05 T16:00 Z,2017-01-05 T16:20 Z,8,Pershing Square North
2017-01-05 T16:20 Z,2017-01-05 T16:40 Z,4,Pershing Square North
2017-01-05 T16:40 Z,2017-01-05 T17:00 Z,13,Pershing Square North
2017-01-05 T17:00 Z,2017-01-05 T17:20 Z,14,Pershing Square North
2017-01-05 T17:20 Z,2017-01-05 T17:40 Z,12,Pershing Square North
2017-01-05 T17:40 Z,2017-01-05 T18:00 Z,25,Pershing Square North
2017-01-05 T18:00 Z,2017-01-05 T18:20 Z,17,Pershing Square North
2017-01-05 T18:20 Z,2017-01-05 T18:40 Z,17,Pershing Square North
2017-01-05 T18:40 Z,2017-01-05 T19:00 Z,19,Pershing Square North
2017-01-05 T19:00 Z,2017-01-05 T19:20 Z,16,Pershing Square North
